,pick_order,hero_code,attack_damage,receive_damage,recovery,mvp_point,equip,first_pick,mvp,ban
5,1,c1159,14667,116988.14,11148,253463,"['set_max_hp', 'set_speed']",1,0,0
6,2,c4004,5002,228765.98,31499,345747,"['set_speed', 'set_max_hp']",0,1,0
7,3,c5082,6039,5011.35,29775,196757,"['set_res', 'set_speed']",0,0,0
8,4,c2073,14527,12680.74,26899,119497,"['set_speed', 'set_penetrate']",0,0,0
9,5,c1137,0,0.0,0,0,[],0,0,1
0,1,c2089,600,53933.92,0,194352,['set_speed'],1,0,0
1,2,c2109,70873,54376.66,0,319442,"['set_counter', 'set_max_hp']",0,1,0
2,3,c4004,2770,18054.53,25510,162850,"['set_def', 'set_max_hp', 'set_max_hp']",0,0,0
3,4,c4144,0,0.0,0,0,[],0,0,1
4,5,c1159,553,32251.42,0,48339,"['set_speed', 'set_max_hp']",0,0,0
5,1,c2101,9315,65272.63,0,142089,"['set_speed', 'set_max_hp']",0,0,0
6,2,c2022,0,80651.61,3782,106934,"['set_res', 'set_def', 'set_immune']",0,0,0
7,3,c1125,684,35254.84,14713,275656,['set_speed'],0,1,0
8,4,c2079,36584,128750.09,0,232835,"['set_cri_dmg', 'set_def']",0,0,0
9,5,c1154,0,0.0,0,0,[],0,0,1
0,1,c1159,2705,110507.81,0,205990,"['set_speed', 'set_max_hp']",1,0,0
1,2,c2109,44661,49765.96,10136,132396,"['set_counter', 'set_max_hp']",0,0,0
2,3,c4004,1761,126105.19,65621,341931,"['set_def', 'set_max_hp', 'set_max_hp']",0,1,0
3,4,c1151,0,0.0,0,0,[],0,0,1
4,5,c2009,4027,48598.08,0,89736,"['set_cri_dmg', 'set_penetrate']",0,0,0
5,1,c2008,2240,80370.78,10258,192270,"['set_immune', 'set_shield']",0,0,0
6,2,c2016,79260,36160.82,0,261209,"['set_def', 'set_cri_dmg']",0,1,0
7,3,c2022,877,42113.68,15379,104757,"['set_res', 'set_speed']",0,0,0
8,4,c5089,0,0.0,0,0,[],0,0,1
9,5,c2070,18295,36414.16,9969,177333,"['set_speed', 'set_max_hp']",0,0,0
0,1,c2089,943,30835.12,8191,160759,['set_speed'],0,0,0
1,2,c2109,34272,44657.07,818,178392,"['set_counter', 'set_max_hp']",0,1,0
2,3,c2132,582,35965.42,1626,98568,"['set_immune', 'set_speed']",0,0,0
3,4,c4144,25968,16470.38,987,73623,"['set_cri_dmg', 'set_penetrate']",0,0,0
4,5,c2072,0,0.0,0,0,[],0,0,1
5,1,c2016,2765,34735.69,930,46010,"['set_cri', 'set_vampire']",1,0,0
6,2,c2090,0,0.0,0,0,[],0,0,1
7,3,c2008,0,43549.07,3236,84684,"['set_shield', 'set_immune']",0,0,0
8,4,c2024,0,22831.28,104,60834,"['set_speed', 'set_immune']",0,0,0
9,5,c2079,32979,101729.57,9798,205144,"['set_speed', 'set_cri']",0,1,0
0,1,c1159,4768,112972.3,6932,279462,"['set_speed', 'set_max_hp']",1,1,0
1,2,c2132,3873,41313.3,1681,84017,"['set_immune', 'set_speed']",0,0,0
2,3,c2016,58288,26993.96,0,165772,"['set_def', 'set_cri_dmg']",0,0,0
3,4,c2111,0,0.0,0,0,[],0,0,1
4,5,c2109,14245,33648.62,4864,80620,"['set_counter', 'set_max_hp']",0,0,0
5,1,c2090,22408,60452.23,0,279510,"['set_speed', 'set_res']",0,1,0
6,2,c4004,4637,112746.81,16788,185921,"['set_res', 'set_counter']",0,0,0
7,3,c4144,29266,34773.68,1646,186436,"['set_cri_dmg', 'set_penetrate']",0,0,0
8,4,c1148,11408,50873.94,0,165781,"['set_speed', 'set_res']",0,0,0
9,5,c2071,0,0.0,0,0,[],0,0,1
0,1,c1126,7960,14168.51,0,121046,"['set_speed', 'set_acc']",1,1,0
1,2,c2101,9248,18184.08,0,91437,"['set_speed', 'set_max_hp']",0,0,0
2,3,c2070,0,74870.32,2880,89387,"['set_speed', 'set_max_hp']",0,0,0
3,4,c1151,0,0.0,0,0,[],0,0,1
